targetname,datetime_str,datetime_jd,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,IB_elong,IB_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
Mars (499),2023-Oct-01 00:00,2460218.5,,,209.54748,-11.45986,211.56725,-4.48616,71.28672,4.290965,,,,,,,,,999,,0.359,3.939,100.0,8.6e-09,0.0,*,5.871461,202.805621,20.234231,202.810114,20.235422,86.56,0.0,12.1826,2.738,211.4993,0.5709,1.595054471311,-1.8607958,1.59505447131054,-1.8607958,13.26566353,23.0245016,23.0245017,0.0,/*,0.0044,,,,,,0.00195,Vir,69.182355,211.4993042,0.5709302,317.65623,52.87204,327.882708,48.15165,,8.328331,,,,,,,,,,,,,235.355,,0.0044,211.4971,0.571
Mars (499),2023-Oct-02 00:00,2460219.5,,,209.99847,-11.63802,212.04426,-4.45738,71.38035,4.343105,,,,,,,,,999,,0.37,3.952,100.0,8.6e-09,0.0,*,5.875431,193.211871,20.104053,193.216359,20.105257,86.52,0.0,12.3119,2.742,211.9755,0.5563,1.593976693969,-1.8714118,1.59397669396885,-1.8714118,13.25669993,23.0408291,23.0408292,0.0,/*,0.0044,,,,,,0.00196,Vir,69.182353,211.9755321,0.5562987,317.65623,52.87204,328.38851,47.816434,,8.325973,,,,,,,,,,,,,235.8313,,0.0044,211.9733,0.5564
