targetname,datetime_str,datetime_jd,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,IB_elong,IB_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,H,G
Mercury Barycenter (199),2023-Oct-01 00:00,2460218.5,,,125.73867,26.296,122.07081,1.47811,860.1415,-45.7544,,,,,,,,,999,,-5.517,0.813,100.0,1.8e-07,0.0,*,20.81113,359.812246,0.03493,359.822968,0.034931,93.04,0.0,3.0478,10.406,121.821,6.7186,0.323273816807,7.0436063,0.32327381680671,7.0436063,2.68858635,56.5390298,56.5390299,0.0,/*,0.0107,,,,,,-0.06545,Cnc,69.182355,121.820974,6.718564,281.00191,61.41314,197.028824,30.811531,,8.328331,,,,,,,,,,,,,44.4462,,0.0107,121.8156,6.7184,,
Mercury Barycenter (199),2023-Oct-02 00:00,2460219.5,,,131.86992,25.03149,127.73253,1.17028,837.772,-46.4849,,,,,,,,,999,,-5.46,0.841,100.0,1.8e-07,0.0,*,20.54,0.282575,0.034471,0.293156,0.034472,93.18,0.0,3.1822,10.27,127.5274,6.8813,0.327540949177,7.718465,0.32754094917703,7.718465,2.72407501,55.9031332,55.9031333,0.0,/*,0.0106,,,,,,-0.06429,Cnc,69.182353,127.5273781,6.8813376,281.00191,61.41314,200.395265,35.733176,,8.325973,,,,,,,,,,,,,50.1147,,0.0106,127.522,6.8812,,
Venus Barycenter (299),2023-Oct-01 00:00,2460218.5,,,35.69542,11.9236,37.22926,2.36057,239.745,-12.7847,,,,,,,,,999,,-5.789,0.764,100.0,7.9e-08,0.0,*,23.06055,303.233987,0.921267,303.2273,0.921556,93.05,0.0,5.5251,11.529,37.3289,-2.1507,0.723676819426,-0.2356462,0.72367681942599,-0.2356462,6.01863658,35.0040573,35.0040573,0.0,/*,0.0067,,,,,,-0.01913,Ari,69.182355,37.3289003,-2.1506682,272.76,67.16,155.474957,-45.098699,,8.328331,,,,,,,,,,,,,265.6085,,0.0067,37.3256,-2.1508,,
Venus Barycenter (299),2023-Oct-02 00:00,2460219.5,,,37.22121,12.50584,38.82912,2.27441,239.8206,-13.0603,,,,,,,,,999,,-5.789,0.763,100.0,7.9e-08,0.0,*,23.06489,306.314916,0.851851,306.308228,0.852143,93.12,0.0,5.6146,11.531,38.9291,-2.0765,0.723540595361,-0.236055,0.72354059536074,-0.236055,6.01750364,35.0106445,35.0106445,0.0,/*,0.0067,,,,,,-0.01911,Ari,69.182353,38.929142,-2.0764739,272.76,67.16,156.878438,-43.849692,,8.325973,,,,,,,,,,,,,267.2065,,0.0067,38.9258,-2.0766,,
Earth-Moon Barycenter (3),2023-Oct-01 00:00,2460218.5,,,6.64299,2.87039,7.28113,6.7454,147.2424,-6.86504,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,7.234,-0.0008,1.001422346227,-0.4956499,1.00142234622699,-0.4956499,8.32857569,29.7426612,29.742661,0.0,/*,0.0057,,,,,,0.01232,Psc,69.182355,7.2340447,-0.0007788,,,110.662667,-59.407718,,8.328331,,,,,,,,,,,,,264.237,,0.0057,7.2312,-0.0008,,
Earth-Moon Barycenter (3),2023-Oct-02 00:00,2460219.5,,,7.54745,3.25834,8.26978,6.69863,147.3126,-7.16654,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,8.217,-0.0008,1.001135850118,-0.4964354,1.00113585011846,-0.4964354,8.32619297,29.7511917,29.7511916,0.0,/*,0.0057,,,,,,0.01233,Psc,69.182353,8.21701,-0.0008314,,,112.53727,-59.183903,,8.325973,,,,,,,,,,,,,265.2218,,0.0057,8.2142,-0.0008,,
Mars Barycenter (4),2023-Oct-01 00:00,2460218.5,,,209.54748,-11.45986,211.56725,-4.48616,71.28672,4.290965,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,211.4993,0.5709,1.59505447131,-1.8607958,1.5950544713095,-1.8607958,13.26566353,23.0245016,23.0245016,0.0,/*,0.0044,,,,,,0.00195,Vir,69.182355,211.4993042,0.5709302,,,327.882708,48.15165,,8.328331,,,,,,,,,,,,,235.355,,0.0044,211.4971,0.571,,
Mars Barycenter (4),2023-Oct-02 00:00,2460219.5,,,209.99847,-11.63802,212.04426,-4.45738,71.38035,4.343105,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,211.9755,0.5563,1.593976693968,-1.8714118,1.59397669396759,-1.8714118,13.25669993,23.0408291,23.0408292,0.0,/*,0.0044,,,,,,0.00196,Vir,69.182353,211.9755321,0.5562987,,,328.38851,47.816434,,8.325973,,,,,,,,,,,,,235.8313,,0.0044,211.9733,0.5564,,
Jupiter Barycenter (5),2023-Oct-01 00:00,2460218.5,,,35.2002,12.7995,37.1538,3.35832,13.59129,-1.20964,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,37.1552,-1.1653,4.969491828105,0.2485953,4.96949182810478,0.2485953,41.33000326,13.6633038,13.6633038,0.0,/*,0.0026,,,,,,0.0002,Ari,69.182355,37.1551677,-1.1652554,,,154.28192,-44.564493,,8.328331,,,,,,,,,,,,,22.7234,,0.0026,37.1539,-1.1653,,
Jupiter Barycenter (5),2023-Oct-02 00:00,2460219.5,,,35.28811,12.82994,37.24456,3.35025,13.59039,-1.21083,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,37.2461,-1.1643,4.969635668799,0.2495129,4.96963566879906,0.2495129,41.33119954,13.6629245,13.6629246,0.0,/*,0.0026,,,,,,0.0002,Ari,69.182353,37.2461459,-1.1643261,,,154.36741,-44.496962,,8.325973,,,,,,,,,,,,,22.8124,,0.0026,37.2448,-1.1643,,
Saturn Barycenter (6),2023-Oct-01 00:00,2460218.5,,,337.07333,-11.34057,334.44975,5.48216,4.791667,-0.03935,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,334.6071,-1.6322,9.763534728447,-0.477522,9.76353472844659,-0.477522,81.20084228,9.4376278,9.4376255,0.0,/*,0.0018,,,,,,-0.00093,Aqr,69.182355,334.6071355,-1.6322483,,,51.05619,-52.895058,,8.328331,,,,,,,,,,,,,245.8235,,0.0018,334.6062,-1.6322,,
Saturn Barycenter (6),2023-Oct-02 00:00,2460219.5,,,337.10401,-11.32984,334.48184,5.4819,4.791926,-0.03961,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,334.6391,-1.6333,9.763258896303,-0.4776594,9.76325889630329,-0.4776594,81.19854825,9.4378832,9.4378809,0.0,/*,0.0018,,,,,,-0.00093,Aqr,69.182353,334.6390778,-1.6332943,,,51.096778,-52.915583,,8.325973,,,,,,,,,,,,,245.8527,,0.0018,334.6382,-1.6333,,
Uranus Barycenter (7),2023-Oct-01 00:00,2460218.5,,,47.88007,17.50374,50.26791,2.80915,1.675479,-0.17144,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,50.235,-0.3115,19.628026036,-0.2720368,19.6280260359957,-0.2720368,163.24131482,6.6655666,6.6655683,0.0,/*,0.0013,,,,,,0.00033,Ari,69.182355,50.2350435,-0.3115456,,,164.193731,-33.914764,,8.328331,,,,,,,,,,,,,245.0941,,0.0013,50.2344,-0.3116,,
Uranus Barycenter (7),2023-Oct-02 00:00,2460219.5,,,47.89138,17.50687,50.27909,2.80801,1.675506,-0.17146,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,50.2463,-0.3114,19.62786890683,-0.2720875,19.6278689068323,-0.2720875,163.24000802,6.6656283,6.66563,0.0,/*,0.0013,,,,,,0.00033,Ari,69.182353,50.2462712,-0.3114073,,,164.201651,-33.905661,,8.325973,,,,,,,,,,,,,245.1097,,0.0013,50.2456,-0.3114,,
Neptune Barycenter (8),2023-Oct-01 00:00,2460218.5,,,356.82622,-2.72056,355.94963,5.90107,0.908532,-0.04061,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,356.0069,-1.2348,29.90606073616,-0.0428534,29.9060607361585,-0.0428534,248.72112288,5.4795462,5.4795411,0.0,/*,0.001,,,,,,-5e-05,Psc,69.182355,356.0069487,-1.234832,,,88.034564,-61.169252,,8.328331,,,,,,,,,,,,,326.8691,,0.001,356.0064,-1.2348,,
Neptune Barycenter (8),2023-Oct-02 00:00,2460219.5,,,356.83184,-2.71828,355.95572,5.9008,0.908531,-0.04062,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,356.013,-1.235,29.9060359824,-0.0428667,29.906035982402,-0.0428667,248.72091701,5.4795359,5.4795307,0.0,/*,0.001,,,,,,-5e-05,Psc,69.182353,356.0130116,-1.2349661,,,88.046999,-61.170148,,8.325973,,,,,,,,,,,,,326.8509,,0.001,356.0125,-1.235,,
Pluto Barycenter (9),2023-Oct-01 00:00,2460218.5,,,301.88043,-22.97911,299.0389,2.27765,0.725688,-0.14986,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,299.1292,-2.706,34.86068665769,1.1662868,34.8606866576944,1.1662868,289.92749017,5.3332667,5.3332576,0.0,/*,0.001,,,,,,-0.00384,Cap,69.182355,299.1292294,-2.7059801,,,19.328086,-26.426946,,8.328331,,,,,,,,,,,,,74.9179,,0.001,299.1288,-2.7058,,
Pluto Barycenter (9),2023-Oct-02 00:00,2460219.5,,,301.88577,-22.97952,299.04374,2.27665,0.725656,-0.14986,,,,,,,,,999,,,,,,0.0,*,,,,,,n.a,,,,299.134,-2.7074,34.86136025027,1.1663154,34.8613602502665,1.1663154,289.93309227,5.3331521,5.3331431,0.0,/*,0.001,,,,,,-0.00384,Cap,69.182353,299.1339603,-2.7074192,,,19.329534,-26.431713,,8.325973,,,,,,,,,,,,,74.9249,,0.001,299.1335,-2.7073,,
11 Parthenope (A850 JA),2023-Oct-01 00:00,2460218.5,,,290.84187,-20.7585,288.97942,5.29141,45.90986,1.287209,,,,,,,,,999,,10.237,4.696,100.0,1e-10,0.0,*,0.087964,,,,,88.39,0.0,,,289.4374,1.2854,2.239696407839,-1.0046873,2.23969640783933,-1.0046873,18.62698703,20.7478607,20.7478601,0.0,/*,0.004,,,,,,-0.01131,Sgr,69.182355,289.4374014,1.2854252,,,17.465341,-16.092119,,8.328331,0.014,0.007,0.014,0.00676,3.431,0.0002899,0.015,3.5806,1e-06,0.01,0.03,2.4e-05,328.0397,,0.004,289.4354,1.2856,6.73,0.15
11 Parthenope (A850 JA),2023-Oct-02 00:00,2460219.5,,,291.16868,-20.73849,289.28688,5.29992,45.93416,1.265121,,,,,,,,,999,,10.236,4.695,100.0,1e-10,0.0,*,0.087986,,,,,88.42,0.0,,,289.7428,1.2616,2.239118638266,-0.9960668,2.23911863826563,-0.9960668,18.62218187,20.7527752,20.7527746,0.0,/*,0.004,,,,,,-0.01132,Sgr,69.182353,289.7428182,1.2616441,,,17.61101,-16.364583,,8.325973,0.014,0.007,0.014,0.00677,3.544,0.0002903,0.015,3.5672,1e-06,0.01,0.03,2.4e-05,328.3456,,0.004,289.7408,1.2618,6.73,0.15
12 Victoria (A850 RA),2023-Oct-01 00:00,2460218.5,,,151.27752,2.8937,151.79908,-15.36065,28.88754,-0.37647,,,,,,,,,999,,11.725,5.26,100.0,4e-11,0.0,*,0.057463,,,,,90.75,0.0,,,152.269,-8.314,2.76143168562,-2.0156358,2.76143168561992,-2.0156358,22.96612702,16.1982534,16.198254,0.0,/*,0.0031,,,,,,0.02137,Sex,69.182355,152.2689894,-8.3139875,,,236.975013,43.46316,,8.328331,0.006,0.003,0.00585,0.00306,-19.282,5.62e-05,0.007,4.4125,6e-07,0.0,0.01,2.9e-05,207.237,,0.0031,152.2674,-8.314,7.31,0.22
12 Victoria (A850 RA),2023-Oct-02 00:00,2460219.5,,,151.45922,2.82892,151.99889,-15.36307,28.91235,-0.35007,,,,,,,,,999,,11.723,5.259,100.0,4e-11,0.0,*,0.057488,,,,,90.69,0.0,,,152.4637,-8.3106,2.760263751162,-2.028791,2.76026375116164,-2.028791,22.95641361,16.2066564,16.206657,0.0,/*,0.0031,,,,,,0.02135,Sex,69.182353,152.4636871,-8.3105635,,,237.193318,43.573006,,8.325973,0.006,0.003,0.00586,0.00306,-19.296,5.62e-05,0.007,4.422,6e-07,0.0,0.01,3e-05,207.4298,,0.0031,152.4621,-8.3106,7.31,0.22
13 Egeria (A850 VA),2023-Oct-01 00:00,2460218.5,,,340.774,-25.03514,332.91155,-8.57028,30.70752,3.824651,,,,,,,,,999,,11.359,6.121,100.0,8e-11,0.0,*,0.101086,,,,,82.9,0.0,,,332.6735,-15.639,2.763911016318,-0.7708848,2.76391101631827,-0.7708848,22.98674699,17.2481898,17.2481892,0.0,/*,0.0033,,,,,,-0.02008,PsA,69.182355,332.6734524,-15.6389709,,,29.770631,-61.183118,,8.328331,0.01,0.007,0.011,0.00432,28.761,0.000151,0.012,5.91,9e-07,0.0,0.01,3.9e-05,208.8997,,0.0033,332.6718,-15.6391,6.94,0.15
13 Egeria (A850 VA),2023-Oct-02 00:00,2460219.5,,,340.97416,-24.93688,333.1186,-8.54473,30.71539,3.842406,,,,,,,,,999,,11.359,6.12,100.0,8e-11,0.0,*,0.101103,,,,,82.87,0.0,,,332.8867,-15.6193,2.763464337106,-0.7759214,2.76346433710618,-0.7759214,22.98303207,17.2512002,17.2511996,0.0,/*,0.0033,,,,,,-0.02003,PsA,69.182353,332.8867306,-15.6192973,,,30.045165,-61.341707,,8.325973,0.01,0.007,0.011,0.00432,28.846,0.0001511,0.012,5.9024,9e-07,0.0,0.01,3.9e-05,209.1065,,0.0033,332.885,-15.6195,6.94,0.15
14 Irene (A851 KA),2023-Oct-01 00:00,2460218.5,,,12.85608,-4.09565,9.8137,-2.2371,25.87214,-0.35117,,,,,,,,,999,,11.341,5.292,100.0,5e-11,0.0,*,0.069602,,,,,90.78,0.0,,,10.2138,-8.8477,3.011088979974,-0.3287516,3.01108897997376,-0.3287516,25.04246343,15.6996158,15.6996155,0.0,/*,0.003,,,,,,-0.0208,Cet,69.182355,10.2137529,-8.8477089,,,122.923228,-66.967401,,8.328331,0.008,0.005,0.00865,0.00392,25.754,0.0001065,0.009,6.4685,7e-07,0.0,0.01,4.3e-05,186.1043,,0.003,10.2122,-8.8478,6.55,0.15
14 Irene (A851 KA),2023-Oct-02 00:00,2460219.5,,,13.01239,-4.02184,9.98633,-2.23943,25.87557,-0.34815,,,,,,,,,999,,11.341,5.292,100.0,5e-11,0.0,*,0.069606,,,,,90.77,0.0,,,10.3882,-8.841,3.010896441326,-0.337992,3.0108964413255,-0.337992,25.04086213,15.7008599,15.7008596,0.0,/*,0.003,,,,,,-0.02079,Cet,69.182353,10.3882045,-8.8409883,,,123.320573,-66.893126,,8.325973,0.008,0.005,0.00865,0.00392,25.762,0.0001065,0.009,6.4616,7e-07,0.0,0.01,4.3e-05,186.2768,,0.003,10.3867,-8.841,6.55,0.15
15 Eunomia (A851 OA),2023-Oct-01 00:00,2460218.5,,,306.15055,-16.85018,303.86774,7.80401,35.5165,10.41608,,,,,,,,,999,,9.438,4.686,100.0,1e-10,0.0,*,0.126486,,,,,73.65,0.0,,,304.407,2.3757,2.525597397384,-3.4850885,2.52559739738384,-3.4850885,21.00475306,19.1522993,19.1522986,0.0,/*,0.0036,,,,,,0.04449,Cap,69.182355,304.4069811,2.3757199,,,27.381571,-27.967513,,8.328331,0.015,0.009,0.016,0.00628,25.093,0.0003104,0.017,9.1933,1.1e-06,0.01,0.02,6.1e-05,272.9742,,0.0036,304.4052,2.3754,5.41,0.23
15 Eunomia (A851 OA),2023-Oct-02 00:00,2460219.5,,,306.38409,-16.7453,304.10696,7.87344,35.57909,10.41244,,,,,,,,,999,,9.434,4.684,100.0,1e-10,0.0,*,0.126586,,,,,73.69,0.0,,,304.6492,2.425,2.52358479685,-3.4842818,2.52358479684965,-3.4842818,20.98801477,19.1669124,19.1669117,0.0,/*,0.0036,,,,,,0.04452,Cap,69.182353,304.6491757,2.4249986,,,27.58753,-28.134682,,8.325973,0.014,0.009,0.016,0.00626,25.157,0.0003097,0.017,9.2073,1.1e-06,0.01,0.02,6.1e-05,273.2209,,0.0036,304.6474,2.4246,5.41,0.23
16 Psyche (A852 FA),2023-Oct-01 00:00,2460218.5,,,252.00242,-19.36762,252.55956,2.64807,25.57185,2.93831,,,,,,,,,999,,11.155,5.89,100.0,7e-11,0.0,*,0.099887,,,,,83.45,0.0,,,253.0285,3.0176,3.119596531089,-1.8978027,3.11959653108898,-1.8978027,25.94489321,16.2882598,16.2882592,0.0,/*,0.0031,,,,,,-0.00214,Oph,69.182355,253.0284638,3.0175737,,,0.440009,16.225853,,8.328331,0.071,0.04,0.071,0.039,-7.829,0.0086851,0.081,47.1077,5.2e-06,0.02,0.08,0.000314,233.5615,,0.0031,253.0269,3.0176,6.21,0.2
16 Psyche (A852 FA),2023-Oct-02 00:00,2460219.5,,,252.18274,-19.39073,252.73028,2.66766,25.59024,2.936839,,,,,,,,,999,,11.153,5.889,100.0,7e-11,0.0,*,0.099922,,,,,83.45,0.0,,,253.2004,3.0155,3.118499244003,-1.9019814,3.11849924400295,-1.9019814,25.93576735,16.2943899,16.2943893,0.0,/*,0.0031,,,,,,-0.00215,Oph,69.182353,253.2003513,3.0154737,,,0.528013,16.076446,,8.325973,0.071,0.04,0.071,0.039,-7.769,0.0086866,0.081,47.1339,5.2e-06,0.02,0.08,0.000314,233.7325,,0.0031,253.1988,3.0155,6.21,0.2
17 Thetis (A852 HA),2023-Oct-01 00:00,2460218.5,,,253.27266,-18.14049,253.42894,4.1311,49.91835,3.30369,,,,,,,,,999,,11.261,4.683,100.0,7e-11,0.0,*,0.054552,,,,,86.21,0.0,,,254.0789,4.3791,2.145809885408,-0.3218418,2.14580988540818,-0.3218418,17.84615663,21.6294934,21.629493,0.0,/*,0.0041,,,,,,-0.01539,Oph,69.182355,254.078944,4.379058,,,2.212841,15.998582,,8.328331,0.013,0.004,0.013,0.0036,-10.385,0.0001505,0.014,2.8893,1.2e-06,0.01,0.03,1.9e-05,352.6964,,0.0041,254.0769,4.3792,7.94,0.15
17 Thetis (A852 HA),2023-Oct-02 00:00,2460219.5,,,253.61835,-18.19852,253.76263,4.15306,49.92816,3.283242,,,,,,,,,999,,11.26,4.682,100.0,7e-11,0.0,*,0.054557,,,,,86.24,0.0,,,254.4128,4.3587,2.1456282308,-0.3072096,2.14562823080007,-0.3072096,17.84464586,21.6311021,21.6311017,0.0,/*,0.0041,,,,,,-0.0154,Oph,69.182353,254.41284,4.3587312,,,2.366369,15.699516,,8.325973,0.013,0.004,0.013,0.0036,-10.284,0.0001505,0.014,2.8978,1.2e-06,0.01,0.03,1.9e-05,353.0301,,0.0041,254.4108,4.3589,7.94,0.15
18 Melpomene (A852 MA),2023-Oct-01 00:00,2460218.5,,,27.9735,2.43761,26.27368,-2.98777,66.50632,-12.13,,,,,,,,,999,,8.893,3.778,100.0,2e-10,0.0,*,0.107034,,,,,100.34,0.0,,,26.8605,-8.4758,1.798229887584,0.6709038,1.79822988758428,0.6709038,14.95542194,24.5004908,24.5004907,0.0,/*,0.0047,,,,,,-0.02746,Cet,69.182355,26.8605332,-8.475815,,,151.538703,-57.037966,,8.328331,0.014,0.011,0.014,0.01,15.565,0.0004579,0.018,6.6314,1.5e-06,0.02,0.08,4.4e-05,8.7715,,0.0047,26.8582,-8.4756,6.34,0.25
18 Melpomene (A852 MA),2023-Oct-02 00:00,2460219.5,,,28.40869,2.55593,26.7176,-3.06853,66.48191,-12.0974,,,,,,,,,999,,8.894,3.779,100.0,2e-10,0.0,*,0.10701,,,,,100.31,0.0,,,27.314,-8.5193,1.798627242481,0.7050956,1.79862724248136,0.7050956,14.95872664,24.4960493,24.4960492,0.0,/*,0.0047,,,,,,-0.02748,Cet,69.182353,27.3139987,-8.5192931,,,152.163697,-56.743883,,8.325973,0.014,0.011,0.014,0.01,15.535,0.0004572,0.018,6.5668,1.5e-06,0.02,0.08,4.4e-05,9.2223,,0.0047,27.3116,-8.5191,6.34,0.25
19 Fortuna (A852 QA),2023-Oct-01 00:00,2460218.5,,,271.96241,-22.05347,271.4204,3.36368,33.51637,4.560007,,,,,,,,,999,,11.65,6.517,100.0,9e-11,0.0,*,0.106176,,,,,82.25,0.0,,,271.8193,1.3734,2.597180448074,-2.5806261,2.59718044807401,-2.5806261,21.60009113,17.8857792,17.8857786,0.0,/*,0.0034,,,,,,0.00617,Sgr,69.182355,271.8193001,1.3734317,,,8.468755,-0.874999,,8.328331,0.009,0.004,0.00868,0.00402,1.779,0.0001098,0.01,4.0899,8e-07,0.01,0.03,2.7e-05,238.1881,,0.0034,271.8176,1.3734,7.5,0.1
19 Fortuna (A852 QA),2023-Oct-02 00:00,2460219.5,,,272.20575,-22.04719,271.64436,3.39407,33.55594,4.557518,,,,,,,,,999,,11.647,6.516,100.0,9e-11,0.0,*,0.106237,,,,,82.27,0.0,,,272.045,1.3764,2.595688184062,-2.5869056,2.59568818406212,-2.5869056,21.58768035,17.8967421,17.8967415,0.0,/*,0.0034,,,,,,0.00617,Sgr,69.182353,272.0449774,1.3764458,,,8.583689,-1.069174,,8.325973,0.009,0.004,0.00869,0.00403,1.868,0.0001099,0.01,4.106,8e-07,0.01,0.03,2.7e-05,238.4132,,0.0034,272.0433,1.3764,7.5,0.1
20 Massalia (A852 SA),2023-Oct-01 00:00,2460218.5,,,287.38213,-21.77377,285.72131,4.35062,29.76722,3.335707,,,,,,,,,999,,10.942,4.841,100.0,5e-11,0.0,*,0.067949,,,,,83.61,0.0,,,286.1081,0.6988,2.753179842853,-0.1291134,2.75317984285275,-0.1291134,22.89749854,16.6147403,16.6147395,0.0,/*,0.0032,,,,,,0.00488,Sgr,69.182355,286.1080789,0.698779,,,15.159206,-13.551268,,8.328331,0.007,0.004,0.00714,0.00399,6.916,8.95e-05,0.008,6.0297,7e-07,0.01,0.03,4e-05,182.6592,,0.0032,286.1065,0.6988,6.54,0.25
20 Massalia (A852 SA),2023-Oct-02 00:00,2460219.5,,,287.59555,-21.74948,285.92034,4.37283,29.76975,3.328028,,,,,,,,,999,,10.942,4.841,100.0,5e-11,0.0,*,0.067951,,,,,83.62,0.0,,,286.3078,0.6992,2.753102475815,-0.1388017,2.75310247581464,-0.1388017,22.8968551,16.6152725,16.6152717,0.0,/*,0.0032,,,,,,0.00487,Sgr,69.182353,286.3077891,0.6991986,,,15.265314,-13.722281,,8.325973,0.007,0.004,0.00713,0.00398,6.995,8.92e-05,0.008,6.0594,7e-07,0.01,0.03,4e-05,182.8588,,0.0032,286.3062,0.6992,6.54,0.25
21 Lutetia (A852 VA),2023-Oct-01 00:00,2460218.5,,,28.52863,9.15303,29.66612,2.83484,47.67049,-2.59153,,,,,,,,,999,,10.917,4.833,100.0,1e-10,0.0,*,0.078301,115.608455,-76.534141,115.610792,-76.418033,93.11,0.0,106.3895,-0.007,29.7564,-2.3849,2.183492640837,2.708172,2.18349264083741,2.708172,18.15955455,21.1748952,21.174895,0.0,/*,0.004,,,,,,-0.00553,Psc,69.182355,29.756373,-2.3849384,52.0,12.0,147.809595,-50.666386,,8.328331,0.013,0.007,0.015,0.00354,23.115,0.0001618,0.015,4.0327,1.3e-06,0.0,0.02,2.7e-05,58.5726,,0.004,29.7544,-2.385,7.52,0.11
21 Lutetia (A852 VA),2023-Oct-02 00:00,2460219.5,,,28.82658,9.27409,29.98408,2.81753,47.60147,-2.60084,,,,,,,,,999,,10.92,4.834,100.0,1e-10,0.0,*,0.078245,137.679042,-76.67624,137.681437,-76.612538,93.13,0.0,106.5777,-0.007,30.0745,-2.3742,2.185059382232,2.7173513,2.1850593822316,2.7173513,18.17258474,21.1611474,21.1611473,0.0,/*,0.004,,,,,,-0.00552,Psc,69.182353,30.0745085,-2.3742234,52.0,12.0,148.164662,-50.442199,,8.325973,0.013,0.007,0.015,0.00353,23.068,0.0001615,0.015,4.0363,1.3e-06,0.0,0.02,2.7e-05,58.8907,,0.004,30.0725,-2.3743,7.52,0.11
22 Kalliope (A852 WA),2023-Oct-01 00:00,2460218.5,,,223.48576,-11.2628,223.94525,1.32529,24.69762,-2.82947,,,,,,,,,999,,11.835,5.88,100.0,5e-11,0.0,*,0.072694,,,,,96.54,0.0,,,224.4039,5.1219,3.177666268007,0.5918915,3.17766626800725,0.5918915,26.42784449,15.925493,15.9254929,0.0,/*,0.003,,,,,,-0.02501,Lib,69.182355,224.4038791,5.1219148,,,344.739866,41.455292,,8.328331,0.02,0.013,0.023,0.00518,-29.992,0.0003805,0.024,5.3526,1.4e-06,0.01,0.03,3.6e-05,160.0175,,0.003,224.4024,5.1222,6.81,0.21
22 Kalliope (A852 WA),2023-Oct-02 00:00,2460219.5,,,223.63276,-11.34454,224.10992,1.30642,24.69214,-2.8305,,,,,,,,,999,,11.835,5.88,100.0,5e-11,0.0,*,0.072686,,,,,96.54,0.0,,,224.5662,5.0854,3.17800675777,0.5871968,3.17800675776956,0.5871968,26.43067625,15.9236129,15.9236128,0.0,/*,0.003,,,,,,-0.02498,Lib,69.182353,224.5661575,5.0853934,,,344.826785,41.302956,,8.325973,0.02,0.013,0.023,0.00517,-29.961,0.0003803,0.024,5.3605,1.4e-06,0.01,0.03,3.6e-05,160.1828,,0.003,224.5647,5.0857,6.81,0.21
23 Thalia (A852 XA),2023-Oct-01 00:00,2460218.5,,,113.20651,28.85686,110.75724,2.89541,56.11006,1.271869,,,,,,,,,999,,10.268,4.314,100.0,1e-10,0.0,*,0.072737,,,,,88.7,0.0,,,110.3492,7.0422,2.038340450996,-1.2913643,2.03834045099561,-1.2913643,16.9523606,23.0838066,23.0838072,0.0,/*,0.0044,,,,,,-0.02763,Gem,69.182355,110.3491601,7.0422468,,,190.379783,21.104489,,8.328331,0.021,0.003,0.021,0.00313,-2.008,0.0002044,0.021,5.4888,1.8e-06,0.01,0.03,3.7e-05,342.7706,,0.0044,110.347,7.042,7.17,0.15
23 Thalia (A852 XA),2023-Oct-02 00:00,2460219.5,,,113.63361,28.84433,111.13192,2.90383,56.15114,1.254214,,,,,,,,,999,,10.266,4.314,100.0,1e-10,0.0,*,0.072763,,,,,88.72,0.0,,,110.7233,7.0895,2.037602479643,-1.2641434,2.03760247964337,-1.2641434,16.94622308,23.0906363,23.0906369,0.0,/*,0.0044,,,,,,-0.02761,Gem,69.182353,110.7233112,7.0894727,,,190.530568,21.451417,,8.325973,0.021,0.003,0.021,0.00315,-2.213,0.0002056,0.021,5.4551,1.8e-06,0.01,0.03,3.6e-05,343.1447,,0.0044,110.7211,7.0892,7.17,0.15
